,Event,Category,Name1,Year1,Name2,Year2,Name3,Year3,Name4,Year4,School,QualifyingTime,Time,Place,Points
18, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Stowe, Casey",JR,"McHugh, Max",5Y,"Neverman, Kaiser",JR,"Farrar, Lucas",JR,Minnesota,1:24.21,1:23.43,19,0
19, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Radziszewski, Krzysztof",SO,"Van Der Laan, Cooper",SR,"Goraj, Marcin",JR,"Crisci, Flynn",SR,Pittsburgh,1:23.98,1:23.89,20,0
20, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Grant, Will",JR,"Simpson, Jared",SR,"Gures, Umitcan",SR,"Linnihan, Ryan",SR,Harvard,1:23.79,1:23.97,21,0
21, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Storms, Eric",5Y,"Patton, Ben",SR,"Secchi, Clement",5Y,"Dahlgren, Jack",5Y,Missouri,1:23.28,DQ,---,0
22, Event 1  Men 200 Yard Medley Relay,Timed Final Relay,"Webb, Forest",SR,"Pouch, AJ",SR,"Gentry, Landon",FR,"Hayon, Will",FR,Virginia Tech,1:24.21,DQ,---,0
23, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Hobson, Luke",SO,"Carrozza, Coby",JR,"Larson, Peter",SR,"Foster, Carson",JR,Texas,6:08.79,6:03.42,1,40
24, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"House, Grant",5Y,"Sammon, Patrick",SO,"Hill, Julian",SR,"Marchand, Leon",SO,Arizona St,6:06.30,6:05.08,2,34
25, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Jett, Gabriel",SO,"Henveaux, Lucas",5Y,"Callan, Patrick",5Y,"Lasco, Destin",JR,California,6:09.65,6:06.41,3,32
26, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Miroslaw, Rafael",SO,"Frankel, Tomer",JR,"Burns, Brendan",SR,"Mathias, Van",5Y,Indiana,6:10.80,6:07.97,4,30
27, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"McDuff, Macguire",SO,"Mitchell, Jake",JR,"Mestre, Alfonso",SR,"Smith, Julian",SO,Florida,6:08.64,6:08.79,5,28
28, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Miller, Luke",JR,"Piszczorowicz, Bartosz",SR,"Bowers, Noah",SR,"Tapp, Hunter",SR,NC State,6:10.65,6:09.38,6,26
29, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Minakov, Andrei",JR,"Polonsky, Ron",SO,"Maurer, Luke",JR,"Forst, Preston",JR,Stanford,6:11.08,6:11.49,7,24
30, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Bonson, Michael",JR,"Husband, Ryan",JR,"Mathias, Mason",SO,"Schmidt, Danny",FR,Auburn,6:12.39,6:11.64,8,22
31, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Sartori, Murilo",SO,"Loktev, Denis",SO,"Brooks, Guy",FR,"Eastman, Michael",5Y,Louisville,6:11.26,6:12.25,9,18
32, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Hawke, Charlie",SO,"Alves, Kaique",SO,"Auerbach, Cam",SR,"Piotrowski, Kacper",JR,Alabama,6:12.46,6:12.66,10,14
33, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Dunham, Bradley",SR,"Magahey, Jake",JR,"Hils, Zach",SR,"Norton, Mitchell",SO,Georgia,6:14.05,6:12.69,11,12
34, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Guiliano, Chris",SO,"Hoagland, Jack",SR,"Wilburn, Cason",SR,"DeLong, Alec",SR,Notre Dame,6:16.29,6:14.39,12,10
35, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Dominguez Calonge, Luis",SO,"Ramadan, Youssef",JR,"Coll Marti, Carles",JR,"Garcia, Nicolas",SO,Virginia Tech,6:14.86,6:14.96,13,8
36, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Bochenski, Grant",SO,"Dahlgren, Jack",5Y,"Windle, Calvin",SO,"Secchi, Clement",5Y,Missouri,6:15.71,6:15.01,14,6
37, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Cohen Groumi, Gal",SO,"Ben-Shitrit, Eitan",FR,"Davis, Wyatt",JR,"Moraes, Eduardo",JR,Michigan,6:13.51,6:15.05,15,4
38, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Bratanov, Koko",SR,"Nelson, Baylor",FR,"Fuchs, Collin",JR,"Foote, Connor",FR,Texas A&M,6:15.38,6:16.32,16,2
39, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Hussey, Patrick",JR,"Dramm, Louis",FR,"Sungaila, Tomas",5Y,"Rutberg, Noah",JR,UNC,6:15.97,6:16.56,17,0
40, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Connery, Tim",SO,"Aikins, Jack",SO,"Wright, Jack",SR,"Sergile, Sebastien",FR,Virginia,6:16.62,6:16.91,18,0
41, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Berg, Max",JR,"Wilby, Mason",5Y,"Martin Roig, Victor",SO,"Rosely, Zane",JR,Kentucky,6:16.26,6:17.44,19,0
42, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Soloveychik, Bar",SO,"Morris, Christopher",SO,"Neverman, Kaiser",JR,"Hernandez Garcia, Alberto",FR,Minnesota,6:16.25,6:18.81,20,0
43, Event 2  Men 800 Yard Freestyle Relay,Timed Final Relay,"Goraj, Marcin",JR,"Toledo Sanchez, Dominic",SR,"Frimis, Guy",SO,"Dutkowiak, Wojciech",SR,Pittsburgh,6:19.45,6:20.90,21,0
44, Event 3  Men 500 Yard Freestyle,Championship Final,"Hobson, Luke",SO,,,,,,,Texas,4:10.51,4:07.37,1,20
45, Event 3  Men 500 Yard Freestyle,Championship Final,"Johnston, David",JR,,,,,,,Texas,4:10.02,4:08.79,2,17
46, Event 3  Men 500 Yard Freestyle,Championship Final,"Magahey, Jake",JR,,,,,,,Georgia,4:10.83,4:09.24,3,16
47, Event 3  Men 500 Yard Freestyle,Championship Final,"Newmark, Jake",JR,,,,,,,Wisconsin,4:10.80,4:10.12,4,15
48, Event 3  Men 500 Yard Freestyle,Championship Final,"Mitchell, Jake",JR,,,,,,,Florida,4:11.65,4:10.54,5,14
49, Event 3  Men 500 Yard Freestyle,Championship Final,"Jett, Gabriel",SO,,,,,,,California,4:10.62,4:12.52,6,13
50, Event 3  Men 500 Yard Freestyle,Championship Final,"Dant, Ross",SR,,,,,,,NC State,4:11.81,4:12.59,7,12
51, Event 3  Men 500 Yard Freestyle,Championship Final,"Mestre, Alfonso",SR,,,,,,,Florida,4:10.78,4:12.62,8,11
52, Event 3  Men 500 Yard Freestyle,Consolation Final,"Henveaux, Lucas",5Y,,,,,,,California,4:11.92,4:10.50,9,9
53, Event 3  Men 500 Yard Freestyle,Consolation Final,"Hoagland, Jack",SR,,,,,,,Notre Dame,4:12.77,4:12.49,10,7
54, Event 3  Men 500 Yard Freestyle,Consolation Final,"Carrozza, Coby",JR,,,,,,,Texas,4:12.05,4:13.95,11,6
55, Event 3  Men 500 Yard Freestyle,Consolation Final,"Gallant, Will",JR,,,,,,,NC State,4:13.46,4:13.98,12,5
56, Event 3  Men 500 Yard Freestyle,Consolation Final,"Gray, Andrew",SR,,,,,,,Arizona St,4:13.59,4:14.61,13,4
57, Event 3  Men 500 Yard Freestyle,Consolation Final,"Unlu, Baturalp",JR,,,,,,,Georgia Tech,4:13.39,4:14.74,14,3
58, Event 3  Men 500 Yard Freestyle,Consolation Final,"Mathias, Mason",SO,,,,,,,Auburn,4:12.15,4:15.25,15,2
59, Event 3  Men 500 Yard Freestyle,Consolation Final,"Bonson, Michael",JR,,,,,,,Auburn,4:12.50,4:15.35,16,1
60, Event 3  Men 500 Yard Freestyle,Preliminaries,"Johnston, David",JR,,,,,,,Texas,4:10.95,4:10.02,1,0
61, Event 3  Men 500 Yard Freestyle,Preliminaries,"Hobson, Luke",SO,,,,,,,Texas,4:13.82,4:10.51,2,0
62, Event 3  Men 500 Yard Freestyle,Preliminaries,"Jett, Gabriel",SO,,,,,,,California,4:09.66,4:10.62,3,0
63, Event 3  Men 500 Yard Freestyle,Preliminaries,"Mestre, Alfonso",SR,,,,,,,Florida,4:10.15,4:10.78,4,0
64, Event 3  Men 500 Yard Freestyle,Preliminaries,"Newmark, Jake",JR,,,,,,,Wisconsin,4:12.96,4:10.80,5,0
65, Event 3  Men 500 Yard Freestyle,Preliminaries,"Magahey, Jake",JR,,,,,,,Georgia,4:09.83,4:10.83,6,0
66, Event 3  Men 500 Yard Freestyle,Preliminaries,"Mitchell, Jake",JR,,,,,,,Florida,4:09.85,4:11.65,7,0
67, Event 3  Men 500 Yard Freestyle,Preliminaries,"Dant, Ross",SR,,,,,,,NC State,4:14.29,4:11.81,8,0
68, Event 3  Men 500 Yard Freestyle,Preliminaries,"Henveaux, Lucas",5Y,,,,,,,California,4:11.06,4:11.92,9,0
69, Event 3  Men 500 Yard Freestyle,Preliminaries,"Carrozza, Coby",JR,,,,,,,Texas,4:14.12,4:12.05,10,0
70, Event 3  Men 500 Yard Freestyle,Preliminaries,"Mathias, Mason",SO,,,,,,,Auburn,4:13.06,4:12.15,11,0
71, Event 3  Men 500 Yard Freestyle,Preliminaries,"Bonson, Michael",JR,,,,,,,Auburn,4:13.10,4:12.50,12,0
72, Event 3  Men 500 Yard Freestyle,Preliminaries,"Hoagland, Jack",SR,,,,,,,Notre Dame,4:14.24,4:12.77,13,0
73, Event 3  Men 500 Yard Freestyle,Preliminaries,"Unlu, Baturalp",JR,,,,,,,Georgia Tech,4:12.35,4:13.39,14,0
74, Event 3  Men 500 Yard Freestyle,Preliminaries,"Gallant, Will",JR,,,,,,,NC State,4:13.85,4:13.46,15,0
75, Event 3  Men 500 Yard Freestyle,Preliminaries,"Gray, Andrew",SR,,,,,,,Arizona St,4:12.55,4:13.59,16,0
76, Event 3  Men 500 Yard Freestyle,Preliminaries,"Brown, Eric",FR,,,,,,,Florida,4:12.95,4:14.21,17,0
77, Event 3  Men 500 Yard Freestyle,Preliminaries,"Hill, Julian",SR,,,,,,,Arizona St,4:12.21,4:14.24,18,0
78, Event 3  Men 500 Yard Freestyle,Preliminaries,"Matheson, Daniel",SO,,,,,,,Arizona St,4:13.14,4:14.44,19,0
79, Event 3  Men 500 Yard Freestyle,Preliminaries,"Zettle, Alex",5Y,,,,,,,Texas,4:14.28,4:14.55,20,0
80, Event 3  Men 500 Yard Freestyle,Preliminaries,"Watson, Tyler",SR,,,,,,,Florida,4:13.92,4:15.01,21,0
81, Event 3  Men 500 Yard Freestyle,Preliminaries,"Plage, James",JR,,,,,,,NC State,4:12.33,4:15.15,22,0
82, Event 3  Men 500 Yard Freestyle,Preliminaries,"Millard, Noah",SO,,,,,,,Yale,4:10.62,4:15.32,23,0
83, Event 3  Men 500 Yard Freestyle,Preliminaries,"Soloveychik, Bar",SO,,,,,,,Minnesota,4:14.45,4:15.87,24,0
84, Event 3  Men 500 Yard Freestyle,Preliminaries,"Clark, Charlie",JR,,,,,,,Ohio St,4:15.35,4:15.96,25,0
85, Event 3  Men 500 Yard Freestyle,Preliminaries,"Linscheer, Gio",FR,,,,,,,Florida,4:12.69,4:16.06,26,0
86, Event 3  Men 500 Yard Freestyle,Preliminaries,"Dominguez Calonge, Luis",SO,,,,,,,Virginia Tech,4:15.80,4:16.26,27,0
87, Event 3  Men 500 Yard Freestyle,Preliminaries,"Lindholm, Oskar",SO,,,,,,,Florida,4:14.97,4:16.30,28,0
88, Event 3  Men 500 Yard Freestyle,Preliminaries,"Sarkany, Zalan",FR,,,,,,,Arizona St,4:16.48,4:16.61,29,0
89, Event 3  Men 500 Yard Freestyle,Preliminaries,"Caruso, Nick",SO,,,,,,,Kentucky,4:15.66,4:16.92,30,0
90, Event 3  Men 500 Yard Freestyle,Preliminaries,"Kilavuz, Mert",SO,,,,,,,Georgia Tech,4:17.73,4:17.41,31,0
91, Event 3  Men 500 Yard Freestyle,Preliminaries,"Callan, Patrick",5Y,,,,,,,California,4:12.45,4:17.54,32,0
92, Event 3  Men 500 Yard Freestyle,Preliminaries,"Hawke, Charlie",SO,,,,,,,Alabama,4:14.36,4:18.04,33,0
93, Event 3  Men 500 Yard Freestyle,Preliminaries,"Edmund, Mason",FR,,,,,,,Ohio St,4:18.63,4:18.49,34,0
94, Event 3  Men 500 Yard Freestyle,Preliminaries,"Garcia, Nicolas",SO,,,,,,,Virginia Tech,4:19.03,4:18.75,35,0
95, Event 3  Men 500 Yard Freestyle,Preliminaries,"Forst, Preston",JR,,,,,,,Stanford,4:14.31,4:19.43,36,0
96, Event 3  Men 500 Yard Freestyle,Preliminaries,"Enyeart, Alec",FR,,,,,,,Texas,4:14.21,4:19.68,37,0
97, Event 3  Men 500 Yard Freestyle,Preliminaries,"Machado, Gabe",SO,,,,,,,Stanford,4:18.23,4:20.47,38,0
98, Event 3  Men 500 Yard Freestyle,Preliminaries,"Abruzzo, Andrew",5Y,,,,,,,Georgia,4:14.36,4:20.74,39,0
99, Event 3  Men 500 Yard Freestyle,Preliminaries,"Little, Jack",SR,,,,,,,Tennessee,4:18.91,4:21.19,40,0
100, Event 3  Men 500 Yard Freestyle,Preliminaries,"Myburgh, Keith",5Y,,,,,,,Virginia Tech,4:19.90,4:21.27,41,0
101, Event 3  Men 500 Yard Freestyle,Preliminaries,"Lim, Nicholas",JR,,,,,,,Princeton,4:20.18,4:21.37,42,0
102, Event 3  Men 500 Yard Freestyle,Preliminaries,"Nagy, Chris",JR,,,,,,,Minnesota,4:19.75,4:22.27,43,0
103, Event 3  Men 500 Yard Freestyle,Preliminaries,"Davis, Grant",SO,,,,,,,Auburn,4:16.98,4:22.79,44,0
104, Event 3  Men 500 Yard Freestyle,Preliminaries,"Yanchev, Yordan",JR,,,,,,,Florida St,4:12.97,4:23.30,45,0
105, Event 3  Men 500 Yard Freestyle,Preliminaries,"Sandidge, Levi",FR,,,,,,,Kentucky,4:20.24,4:24.68,46,0
106, Event 3  Men 500 Yard Freestyle,Preliminaries,"Johansson, Victor",5Y,,,,,,,Alabama,4:14.34,DFS,---,0
107, Event 4  Men 200 Yard IM,Championship Final,"Marchand, Leon",SO,,,,,,,Arizona St,1:38.33,1:36.34,1,20
108, Event 4  Men 200 Yard IM,Championship Final,"Lasco, Destin",JR,,,,,,,California,1:38.32,1:38.10,2,17
109, Event 4  Men 200 Yard IM,Championship Final,"Gonzalez, Hugo",5Y,,,,,,,California,1:40.57,1:39.00,3,16
110, Event 4  Men 200 Yard IM,Championship Final,"Foster, Carson",JR,,,,,,,Texas,1:40.56,1:39.93,4,15
111, Event 4  Men 200 Yard IM,Championship Final,"Polonsky, Ron",SO,,,,,,,Stanford,1:41.14,1:40.62,5,14
112, Event 4  Men 200 Yard IM,Championship Final,"Bustos, Arsenio",SO,,,,,,,NC State,1:40.24,1:40.63,6,13
113, Event 4  Men 200 Yard IM,Championship Final,"Nelson, Baylor",FR,,,,,,,Texas A&M,1:41.01,1:40.88,7,12
114, Event 4  Men 200 Yard IM,Championship Final,"Foster, Jake",SR,,,,,,,Texas,1:41.52,1:41.03,8,11
115, Event 4  Men 200 Yard IM,Consolation Final,"House, Grant",5Y,,,,,,,Arizona St,1:41.64,1:41.35,9,9
116, Event 4  Men 200 Yard IM,Consolation Final,"Schlicht, David",SO,,,,,,,Arizona St,1:41.80,1:41.50,10,7
117, Event 4  Men 200 Yard IM,Consolation Final,"Kos, Hubert",FR,,,,,,,Arizona St,1:41.83,1:41.61,11,6
118, Event 4  Men 200 Yard IM,Consolation Final,"Izzo, Giovanni",5Y,,,,,,,NC State,1:41.78,1:41.65,12,5
119, Event 4  Men 200 Yard IM,Consolation Final,"Khosla, Raunak",SR,,,,,,,Princeton,1:42.00,1:41.69,13,4
120, Event 4  Men 200 Yard IM,Consolation Final,"Corbeau, Caspar",SR,,,,,,,Texas,1:42.33,1:42.33,14,3
121, Event 4  Men 200 Yard IM,Consolation Final,"Coll Marti, Carles",JR,,,,,,,Virginia Tech,1:41.64,1:42.56,15,2
122, Event 4  Men 200 Yard IM,Consolation Final,"Smith, Julian",SO,,,,,,,Florida,1:42.08,1:42.79,16,1
123, Event 4  Men 200 Yard IM,Preliminaries,"Lasco, Destin",JR,,,,,,,California,1:40.60,1:38.32,1,0
124, Event 4  Men 200 Yard IM,Preliminaries,"Marchand, Leon",SO,,,,,,,Arizona St,1:37.81,1:38.33,2,0
125, Event 4  Men 200 Yard IM,Preliminaries,"Bustos, Arsenio",SO,,,,,,,NC State,1:40.31,1:40.24,3,0
126, Event 4  Men 200 Yard IM,Preliminaries,"Foster, Carson",JR,,,,,,,Texas,1:40.42,1:40.56,4,0
127, Event 4  Men 200 Yard IM,Preliminaries,"Gonzalez, Hugo",5Y,,,,,,,California,1:38.72,1:40.57,5,0
128, Event 4  Men 200 Yard IM,Preliminaries,"Nelson, Baylor",FR,,,,,,,Texas A&M,1:40.86,1:41.01,6,0
129, Event 4  Men 200 Yard IM,Preliminaries,"Polonsky, Ron",SO,,,,,,,Stanford,1:40.42,1:41.14,7,0
130, Event 4  Men 200 Yard IM,Preliminaries,"Foster, Jake",SR,,,,,,,Texas,1:42.50,1:41.52,8,0
131, Event 4  Men 200 Yard IM,Preliminaries,"Coll Marti, Carles",JR,,,,,,,Virginia Tech,1:41.02,1:41.64,9,0
132, Event 4  Men 200 Yard IM,Preliminaries,"House, Grant",5Y,,,,,,,Arizona St,1:41.62,1:41.64,10,0
133, Event 4  Men 200 Yard IM,Preliminaries,"Izzo, Giovanni",5Y,,,,,,,NC State,1:41.13,1:41.78,11,0
134, Event 4  Men 200 Yard IM,Preliminaries,"Schlicht, David",SO,,,,,,,Arizona St,1:42.33,1:41.80,12,0
135, Event 4  Men 200 Yard IM,Preliminaries,"Kos, Hubert",FR,,,,,,,Arizona St,1:42.37,1:41.83,13,0
136, Event 4  Men 200 Yard IM,Preliminaries,"Khosla, Raunak",SR,,,,,,,Princeton,1:41.11,1:42.00,14,0
137, Event 4  Men 200 Yard IM,Preliminaries,"Smith, Julian",SO,,,,,,,Florida,1:42.64,1:42.08,15,0
138, Event 4  Men 200 Yard IM,Preliminaries,"Corbeau, Caspar",SR,,,,,,,Texas,1:44.46,1:42.33,16,0
139, Event 4  Men 200 Yard IM,Preliminaries,"Vines, Braden",5Y,,,,,,,Texas,1:43.47,1:42.42,17,0
140, Event 4  Men 200 Yard IM,Preliminaries,"Maas, Derek",SR,,,,,,,Alabama,1:43.04,1:42.59,18,0
141, Event 4  Men 200 Yard IM,Preliminaries,"Louser, Jason",SR,,,,,,,California,1:41.82,1:42.60,19,0
142, Event 4  Men 200 Yard IM,Preliminaries,"Cohen Groumi, Gal",SO,,,,,,,Michigan,1:41.20,1:42.63,20,0
143, Event 4  Men 200 Yard IM,Preliminaries,"Patton, Ben",SR,,,,,,,Missouri,1:42.51,1:42.73,21,0
144, Event 4  Men 200 Yard IM,Preliminaries,"Bratanov, Koko",SR,,,,,,,Texas A&M,1:42.18,1:42.82,22,0
145, Event 4  Men 200 Yard IM,Preliminaries,"Hils, Zach",SR,,,,,,,Georgia,1:42.27,1:42.92,23,0
146, Event 4  Men 200 Yard IM,Preliminaries,"Sherman, Nick",5Y,,,,,,,Purdue,1:42.62,1:42.97,24,0
147, Event 4  Men 200 Yard IM,Preliminaries,"Gonzalez Pinero, Joaquin",SO,,,,,,,Florida,1:43.09,1:43.05,25,0
148, Event 4  Men 200 Yard IM,Preliminaries,"Ben-Shitrit, Eitan",FR,,,,,,,Michigan,1:42.90,1:43.17,26,0
149, Event 4  Men 200 Yard IM,Preliminaries,"Dramm, Louis",FR,,,,,,,UNC,1:44.43,1:43.21,27,0
150, Event 4  Men 200 Yard IM,Preliminaries,"McDonald, Owen",FR,,,,,,,Arizona St,1:41.60,1:43.29,28,0
151, Event 4  Men 200 Yard IM,Preliminaries,"Hillis, Dillon",5Y,,,,,,,Florida,1:43.19,1:43.31,29,0
152, Event 4  Men 200 Yard IM,Preliminaries,"Varjasi, Peter",SR,,,,,,,Florida St,1:43.17,1:43.43,30,0
153, Event 4  Men 200 Yard IM,Preliminaries,"Mihm, Rick",JR,,,,,,,Stanford,1:42.63,1:43.59,31,0
154, Event 4  Men 200 Yard IM,Preliminaries,"Saka, Berke",SO,,,,,,,Georgia Tech,1:43.56,1:43.60,32,0
155, Event 4  Men 200 Yard IM,Preliminaries,"Feehery, Colin",SR,,,,,,,SMU,1:43.45,1:43.67,33,0
156, Event 4  Men 200 Yard IM,Preliminaries,"Daigle, Jared",5Y,,,,,,,Michigan,1:44.17,1:43.81,34,0
157, Event 4  Men 200 Yard IM,Preliminaries,"Puente Bustamante, Andres",SR,,,,,,,Texas A&M,1:43.37,1:43.94,35,0
158, Event 4  Men 200 Yard IM,Preliminaries,"Rathle, Jacques",SO,,,,,,,Auburn,1:43.90,1:43.99,36,0
159, Event 4  Men 200 Yard IM,Preliminaries,"Schmidt, Danny",FR,,,,,,,Auburn,1:44.21,1:44.09,37,0
160, Event 4  Men 200 Yard IM,Preliminaries,"Driggers, Landon",SO,,,,,,,Tennessee,1:43.16,1:44.31,38,0
161, Event 4  Men 200 Yard IM,Preliminaries,"Laur, Mason",SO,,,,,,,Florida,1:45.66,1:44.36,39,0
162, Event 4  Men 200 Yard IM,Preliminaries,"Jekel, Wes",SR,,,,,,,Wisconsin,1:43.99,1:44.37,40,0
163, Event 4  Men 200 Yard IM,Preliminaries,"Nichols, Noah",JR,,,,,,,Virginia,1:43.45,1:44.48,41,0
164, Event 4  Men 200 Yard IM,Preliminaries,"Berlitz, Danny",JR,,,,,,,West Virginia,1:45.15,1:44.50,42,0
165, Event 4  Men 200 Yard IM,Preliminaries,"Colson, Alexander",SR,,,,,,,Arizona St,1:43.86,1:44.82,43,0
166, Event 4  Men 200 Yard IM,Preliminaries,"Fers Erzen, Anze",SR,,,,,,,Texas A&M,1:43.36,1:45.11,44,0
167, Event 4  Men 200 Yard IM,Preliminaries,"Menke, Matt",SR,,,,,,,Alabama,1:43.87,1:45.18,45,0
168, Event 4  Men 200 Yard IM,Preliminaries,"Torok, Dominik Mark",FR,,,,,,,Wisconsin,1:46.52,1:45.22,46,0
169, Event 4  Men 200 Yard IM,Preliminaries,"Goodwin, Will",SR,,,,,,,Missouri,1:45.16,1:45.37,47,0
170, Event 4  Men 200 Yard IM,Preliminaries,"Benzing, Brian",JR,,,,,,,Towson,1:44.41,1:45.45,48,0
171, Event 4  Men 200 Yard IM,Preliminaries,"Crisci, Flynn",SR,,,,,,,Pittsburgh,1:45.44,1:45.57,49,0
172, Event 4  Men 200 Yard IM,Preliminaries,"Zuchowski, Josh",FR,,,,,,,Stanford,1:43.86,1:45.70,50,0
173, Event 4  Men 200 Yard IM,Preliminaries,"McInerny, Evan",JR,,,,,,,Auburn,1:45.91,1:46.13,51,0
174, Event 4  Men 200 Yard IM,Preliminaries,"Connery, Tim",SO,,,,,,,Virginia,1:42.64,1:46.36,52,0
175, Event 4  Men 200 Yard IM,Preliminaries,"Kelly, Jack",SO,,,,,,,Brown,1:44.50,1:46.40,53,0
176, Event 4  Men 200 Yard IM,Preliminaries,"Horner, Jaek",SR,,,,,,,Utah,1:45.08,1:46.45,54,0
177, Event 4  Men 200 Yard IM,Preliminaries,"Merani, Ryan",FR,,,,,,,Kentucky,1:45.77,1:46.75,55,0
178, Event 4  Men 200 Yard IM,Preliminaries,"Prolo, Brad",SR,,,,,,,Brigham Young,1:46.11,1:47.84,56,0
