,Event,Category,Name1,Year1,Name2,Year2,Name3,Year3,Name4,Year4,School,QualifyingTime,Time,Place,Points
25, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Huske, Torri",SO,"Ruck, Taylor",SR,"Nordmann, Lillie",SO,"Wilson, Kayla",FR,Stanford,6:53.90,6:50.77,2,34
26, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Pash, Kelly",SR,"Bray, Olivia",JR,"Leibel, Kyla",SR,"Sullivan, Erica",SO,Texas,6:56.49,6:55.55,3,32
27, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Motekaitis, Mia",SR,"Spitz, Ayla",SR,"Klinker, Rachel",SR,"Polonsky, Leah",SO,California,6:58.62,6:57.08,4,30
28, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Douthwright, Brooklyn",SO,"Stotler, Sara",SO,"Caldow, Elle",JR,"Mrozinski, Julia",SO,Tennessee,6:58.26,6:57.49,5,28
29, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Nikonova, Ekaterina",SO,"Bates, Talia",SR,"Mathieu, Tylor",SR,"Cronk, Micayla",SO,Florida,6:57.11,6:57.72,6,26
30, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Peplowski, Anna",SO,"Paegle, Kristina",FR,"Gan, Ching Hwee",SO,"Looze, Mac",5Y,Indiana,6:58.44,6:59.01,7,24
31, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Reinstein, Sloane",JR,"Coetzee, Dune",SO,"Barczyk, Jillian",SR,"Hartman, Zoie",SR,Georgia,6:58.90,6:59.12,8,22
32, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Carlson, Abby",SO,"Bacon, Phoebe",JR,"McConagha, Mackenzie",SO,"Stoneburg, Blair",FR,Wisconsin,7:01.39,6:59.13,9,18
33, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Gati, Izzy",5Y,"Wheeler, Kaitlynn",SR,"Frericks, Grace",FR,"McNeese, Beth",SR,Kentucky,7:03.24,7:00.19,10,14
34, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Ulett, Tristen",JR,"Hetrick, Paige",JR,"Celidonio, Fernanda",SO,"Welch, Ella",FR,Louisville,6:57.51,7:00.81,11,12
35, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Webb, Abbey",JR,"Crush, Annabel",SO,"Watson, Sarah",SR,"Helms, Katherine",FR,NC State,6:59.22,7:00.85,12,10
36, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Fulmer, Amy",SR,"Pasadyn, Felicia",5Y,"Zenick, Katherine",JR,"Eden, Jessica",FR,Ohio St,6:59.82,7:01.26,13,8
37, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Atkinson, Emma",JR,"Weiler Sastre, Carmen",FR,"Shackelford, Sarah",SR,"Claesson, Emily",FR,Virginia Tech,7:00.97,7:01.65,14,6
38, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Rhee, Rachel",SR,"Guvenc, Gizem",SO,"Bellio, Katrina",FR,"Schaffer, Brooke",SR,UCLA,7:04.87,7:04.66,15,4
39, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Nevmovenko, Polina",SO,"Ownbey, Hannah",JR,"Hetzer, Emily",5Y,"Platts, Daisy",5Y,Auburn,7:05.40,7:04.82,16,2
40, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Stepanek, Chloe",JR,"Buechler, Jordan",JR,"Grottle, Abby",JR,"Goerigk, Giulia",FR,Texas A&M,7:05.59,7:05.63,17,0
41, Event 2  Women 800 Yard Freestyle Relay,Timed Final Relay,"Foley, Sally",JR,"Chang, Yi Xuan",SO,"Purnell, Catherine",JR,"Wall, Tatum",FR,Duke,7:05.18,7:06.56,18,0
42, Event 3  Women 500 Yard Freestyle,Championship Final,"McMahon, Kensey",5Y,,,,,,,Alabama,4:37.81,4:36.62,1,20
43, Event 3  Women 500 Yard Freestyle,Championship Final,"Carlson, Abby",SO,,,,,,,Wisconsin,4:37.56,4:36.96,2,17
44, Event 3  Women 500 Yard Freestyle,Championship Final,"Bray, Olivia",JR,,,,,,,Texas,4:38.48,4:37.02,3,16
45, Event 3  Women 500 Yard Freestyle,Championship Final,"Sullivan, Erica",SO,,,,,,,Texas,4:36.51,4:37.28,4,15
46, Event 3  Women 500 Yard Freestyle,Championship Final,"Stege, Rachel",SO,,,,,,,Georgia,4:37.72,4:37.32,5,14
47, Event 3  Women 500 Yard Freestyle,Championship Final,"Weyant, Emma",SO,,,,,,,Florida,4:39.51,4:38.46,6,13
48, Event 3  Women 500 Yard Freestyle,Championship Final,"Gan, Ching Hwee",SO,,,,,,,Indiana,4:39.21,4:38.91,7,12
49, Event 3  Women 500 Yard Freestyle,Championship Final,"Coetzee, Dune",SO,,,,,,,Georgia,4:38.54,4:40.58,8,11
50, Event 3  Women 500 Yard Freestyle,Consolation Final,"Mrozinski, Julia",SO,,,,,,,Tennessee,4:40.53,4:37.34,9,9
51, Event 3  Women 500 Yard Freestyle,Consolation Final,"Donohoe, Madelyn",SR,,,,,,,Virginia,4:39.58,4:39.46,10,7
52, Event 3  Women 500 Yard Freestyle,Consolation Final,"Zavaros, Mabel",JR,,,,,,,Florida,4:40.54,4:40.40,11,6
53, Event 3  Women 500 Yard Freestyle,Consolation Final,"McCarville, Kate",SO,,,,,,,Tennessee,4:40.43,4:40.54,12,5
54, Event 3  Women 500 Yard Freestyle,Consolation Final,"Looney, Lindsay",SR,,,,,,,Arizona St,4:40.81,4:40.72,13,4
55, Event 3  Women 500 Yard Freestyle,Consolation Final,"Motekaitis, Mia",SR,,,,,,,California,4:40.80,4:40.90,14,3
56, Event 3  Women 500 Yard Freestyle,Consolation Final,"Mathieu, Tylor",SR,,,,,,,Florida,4:40.62,4:41.18,15,2
57, Event 3  Women 500 Yard Freestyle,Consolation Final,"Mannion, Natalie",FR,,,,,,,Stanford,4:40.54,4:41.31,16,1
58, Event 3  Women 500 Yard Freestyle,Preliminaries,"Sullivan, Erica",SO,,,,,,,Texas,4:35.88,4:36.51,1,0
59, Event 3  Women 500 Yard Freestyle,Preliminaries,"Carlson, Abby",SO,,,,,,,Wisconsin,4:38.15,4:37.56,2,0
60, Event 3  Women 500 Yard Freestyle,Preliminaries,"Stege, Rachel",SO,,,,,,,Georgia,4:36.31,4:37.72,3,0
61, Event 3  Women 500 Yard Freestyle,Preliminaries,"McMahon, Kensey",5Y,,,,,,,Alabama,4:40.03,4:37.81,4,0
62, Event 3  Women 500 Yard Freestyle,Preliminaries,"Bray, Olivia",JR,,,,,,,Texas,4:37.31,4:38.48,5,0
63, Event 3  Women 500 Yard Freestyle,Preliminaries,"Coetzee, Dune",SO,,,,,,,Georgia,4:40.75,4:38.54,6,0
64, Event 3  Women 500 Yard Freestyle,Preliminaries,"Gan, Ching Hwee",SO,,,,,,,Indiana,4:38.96,4:39.21,7,0
65, Event 3  Women 500 Yard Freestyle,Preliminaries,"Weyant, Emma",SO,,,,,,,Florida,4:37.96,4:39.51,8,0
66, Event 3  Women 500 Yard Freestyle,Preliminaries,"Donohoe, Madelyn",SR,,,,,,,Virginia,4:39.53,4:39.58,9,0
67, Event 3  Women 500 Yard Freestyle,Preliminaries,"McCarville, Kate",SO,,,,,,,Tennessee,4:38.99,4:40.43,10,0
68, Event 3  Women 500 Yard Freestyle,Preliminaries,"Mrozinski, Julia",SO,,,,,,,Tennessee,4:40.22,4:40.53,11,0
69, Event 3  Women 500 Yard Freestyle,Preliminaries,"Zavaros, Mabel",JR,,,,,,,Florida,4:39.28,4:40.54,12,0
70, Event 3  Women 500 Yard Freestyle,Preliminaries,"Mannion, Natalie",FR,,,,,,,Stanford,4:42.95,4:40.54,12,0
71, Event 3  Women 500 Yard Freestyle,Preliminaries,"Mathieu, Tylor",SR,,,,,,,Florida,4:39.21,4:40.62,14,0
72, Event 3  Women 500 Yard Freestyle,Preliminaries,"Motekaitis, Mia",SR,,,,,,,California,4:41.11,4:40.80,15,0
73, Event 3  Women 500 Yard Freestyle,Preliminaries,"Looney, Lindsay",SR,,,,,,,Arizona St,4:38.29,4:40.81,16,0
74, Event 3  Women 500 Yard Freestyle,Preliminaries,"McKenna, Paige",SO,,,,,,,Wisconsin,4:40.98,4:40.82,17,0
75, Event 3  Women 500 Yard Freestyle,Preliminaries,"Stege, Kristen",SR,,,,,,,Tennessee,4:36.35,4:40.88,18,0
76, Event 3  Women 500 Yard Freestyle,Preliminaries,"Breslin, Aly",JR,,,,,,,Tennessee,4:42.78,4:41.14,19,0
77, Event 3  Women 500 Yard Freestyle,Preliminaries,"Spitz, Ayla",SR,,,,,,,California,4:39.93,4:41.20,20,0
78, Event 3  Women 500 Yard Freestyle,Preliminaries,"McCulloh, Abby",SO,,,,,,,Georgia,4:40.63,4:41.25,21,0
79, Event 3  Women 500 Yard Freestyle,Preliminaries,"Crom, Katelyn",FR,,,,,,,Michigan,4:39.05,4:41.27,22,0
80, Event 3  Women 500 Yard Freestyle,Preliminaries,"Denigan, Mariah",SO,,,,,,,Indiana,4:40.52,4:41.29,23,0
81, Event 3  Women 500 Yard Freestyle,Preliminaries,"Maier, Nicole",JR,,,,,,,Miami (Ohio),4:41.87,4:41.47,24,0
82, Event 3  Women 500 Yard Freestyle,Preliminaries,"Kalandadze, Anna",SR,,,,,,,Penn,4:38.86,4:41.58,25,0
83, Event 3  Women 500 Yard Freestyle,Preliminaries,"Gati, Izzy",5Y,,,,,,,Kentucky,4:38.18,4:41.83,26,0
84, Event 3  Women 500 Yard Freestyle,Preliminaries,"Atkinson, Emma",JR,,,,,,,Virginia Tech,4:40.62,4:41.87,27,0
85, Event 3  Women 500 Yard Freestyle,Preliminaries,"Klinker, Rachel",SR,,,,,,,California,4:40.30,4:41.88,28,0
86, Event 3  Women 500 Yard Freestyle,Preliminaries,"Batchelor, Molly",JR,,,,,,,Arizona St,4:39.54,4:42.21,29,0
87, Event 3  Women 500 Yard Freestyle,Preliminaries,"Roghair, Aurora",SO,,,,,,,Stanford,4:39.77,4:42.23,30,0
88, Event 3  Women 500 Yard Freestyle,Preliminaries,"Barczyk, Jillian",SR,,,,,,,Georgia,4:40.63,4:42.44,31,0
89, Event 3  Women 500 Yard Freestyle,Preliminaries,"Wilson, Kayla",FR,,,,,,,Stanford,4:42.78,4:42.45,32,0
90, Event 3  Women 500 Yard Freestyle,Preliminaries,"Nguyen, Claire",SR,,,,,,,Tennessee,4:42.42,4:42.49,33,0
91, Event 3  Women 500 Yard Freestyle,Preliminaries,"Stoneburg, Blair",FR,,,,,,,Wisconsin,4:40.38,4:42.60,34,0
92, Event 3  Women 500 Yard Freestyle,Preliminaries,"Hetzer, Emily",5Y,,,,,,,Auburn,4:41.11,4:42.77,35,0
93, Event 3  Women 500 Yard Freestyle,Preliminaries,"Hastings, Emma",FR,,,,,,,NC State,4:41.26,4:42.84,36,0
94, Event 3  Women 500 Yard Freestyle,Preliminaries,"Kahler, Marlene",SO,,,,,,,Southern California,4:40.57,4:43.64,37,0
95, Event 3  Women 500 Yard Freestyle,Preliminaries,"Wheeler, Kaitlynn",SR,,,,,,,Kentucky,4:40.17,4:43.97,38,0
96, Event 3  Women 500 Yard Freestyle,Preliminaries,"Ertan, Deniz",FR,,,,,,,Georgia Tech,4:38.04,4:44.04,39,0
97, Event 3  Women 500 Yard Freestyle,Preliminaries,"Thomas, Luciana",5Y,,,,,,,Arkansas,4:45.75,4:44.23,40,0
98, Event 3  Women 500 Yard Freestyle,Preliminaries,"Hierath, Yara",JR,,,,,,,NC State,4:43.28,4:44.32,41,0
99, Event 3  Women 500 Yard Freestyle,Preliminaries,"Auld, Anna",SO,,,,,,,Florida,4:40.32,4:44.36,42,0
100, Event 3  Women 500 Yard Freestyle,Preliminaries,"Travis, Chase",JR,,,,,,,Virginia Tech,4:42.67,4:44.37,43,0
101, Event 3  Women 500 Yard Freestyle,Preliminaries,"Mull, Lola",JR,,,,,,,Northwestern,4:40.53,4:44.48,44,0
102, Event 3  Women 500 Yard Freestyle,Preliminaries,"Geringer, Maya",JR,,,,,,,Ohio St,4:42.98,4:44.84,45,0
103, Event 3  Women 500 Yard Freestyle,Preliminaries,"Goerigk, Giulia",FR,,,,,,,Texas A&M,4:47.10,4:45.09,46,0
104, Event 3  Women 500 Yard Freestyle,Preliminaries,"Miller, Hayden",FR,,,,,,,Florida,4:39.88,4:45.14,47,0
105, Event 3  Women 500 Yard Freestyle,Preliminaries,"Williams, Liberty",JR,,,,,,,Louisville,4:40.33,4:45.27,48,0
106, Event 3  Women 500 Yard Freestyle,Preliminaries,"Woodbury, Gwen",SO,,,,,,,Ohio St,4:45.25,4:45.44,49,0
107, Event 3  Women 500 Yard Freestyle,Preliminaries,"Drumm, Megan",JR,,,,,,,Kentucky,4:46.99,4:45.58,50,0
108, Event 3  Women 500 Yard Freestyle,Preliminaries,"Bridges, Jenna",SO,,,,,,,LSU,4:43.12,4:45.68,51,0
109, Event 3  Women 500 Yard Freestyle,Preliminaries,"McMurray, Olivia",SO,,,,,,,Texas,4:39.38,4:45.74,52,0
110, Event 3  Women 500 Yard Freestyle,Preliminaries,"Knapp, Sophia",FR,,,,,,,Virginia,4:44.53,4:45.87,53,0
111, Event 3  Women 500 Yard Freestyle,Preliminaries,"Ulett, Rye",SO,,,,,,,Louisville,4:45.59,4:46.04,54,0
112, Event 3  Women 500 Yard Freestyle,Preliminaries,"Grottle, Abby",JR,,,,,,,Texas A&M,4:42.74,4:46.25,55,0
113, Event 3  Women 500 Yard Freestyle,Preliminaries,"Jorgenson, Gena",FR,,,,,,,Nebraska,4:45.02,4:46.43,56,0
114, Event 3  Women 500 Yard Freestyle,Preliminaries,"McNeese, Beth",SR,,,,,,,Kentucky,4:41.03,4:46.89,57,0
115, Event 3  Women 500 Yard Freestyle,Preliminaries,"Tankersley, Morgan",SR,,,,,,,Stanford,4:38.36,4:46.93,58,0
116, Event 3  Women 500 Yard Freestyle,Preliminaries,"Pfeifer, Abby",SO,,,,,,,Texas,4:44.47,4:47.14,59,0
117, Event 3  Women 500 Yard Freestyle,Preliminaries,"Reinstein, Sloane",JR,,,,,,,Georgia,4:43.13,4:47.24,60,0
118, Event 3  Women 500 Yard Freestyle,Preliminaries,"Lindorfer, Alivia",SR,,,,,,,Wisconsin,4:45.24,4:47.24,60,0
119, Event 3  Women 500 Yard Freestyle,Preliminaries,"MacEachern, Paige",SO,,,,,,,UCLA,4:43.21,4:47.41,62,0
120, Event 3  Women 500 Yard Freestyle,Preliminaries,"Nordmann, Lillie",SO,,,,,,,Stanford,4:44.10,4:47.44,63,0
121, Event 3  Women 500 Yard Freestyle,Preliminaries,"Preble, Averee",SR,,,,,,,Auburn,4:46.29,4:48.33,64,0
122, Event 3  Women 500 Yard Freestyle,Preliminaries,"DeBoer, Camille",FR,,,,,,,Florida,4:44.80,4:49.18,65,0
123, Event 3  Women 500 Yard Freestyle,Preliminaries,"Kozan, Justina",FR,,,,,,,Southern California,4:41.09,4:50.58,66,0
124, Event 3  Women 500 Yard Freestyle,Preliminaries,"Barnes, Megan",FR,,,,,,,LSU,4:45.38,4:50.59,67,0
125, Event 3  Women 500 Yard Freestyle,Preliminaries,"Purnell, Catherine",JR,,,,,,,Duke,4:45.65,4:50.64,68,0
126, Event 4  Women 200 Yard IM,Championship Final,"Douglass, Kate",SR,,,,,,,Virginia,1:51.81,1:48.37,1,20
127, Event 4  Women 200 Yard IM,Championship Final,"Huske, Torri",SO,,,,,,,Stanford,1:52.38,1:50.06,2,17
128, Event 4  Women 200 Yard IM,Championship Final,"Walsh, Alex",JR,,,,,,,Virginia,1:52.89,1:50.07,3,16
129, Event 4  Women 200 Yard IM,Championship Final,"Nelson, Ella",SR,,,,,,,Virginia,1:54.06,1:53.13,4,15
130, Event 4  Women 200 Yard IM,Championship Final,"Bacon, Phoebe",JR,,,,,,,Wisconsin,1:54.43,1:53.56,5,14
131, Event 4  Women 200 Yard IM,Championship Final,"Sticklen, Emma",JR,,,,,,,Texas,1:54.18,1:54.09,6,13
132, Event 4  Women 200 Yard IM,Championship Final,"Hay, Abby",SR,,,,,,,Louisville,1:54.03,1:54.62,7,12
133, Event 4  Women 200 Yard IM,Championship Final,"Foley, Sally",JR,,,,,,,Duke,1:54.35,1:54.96,8,11
134, Event 4  Women 200 Yard IM,Consolation Final,"Hartman, Zoie",SR,,,,,,,Georgia,1:54.63,1:54.31,9,9
135, Event 4  Women 200 Yard IM,Consolation Final,"Pash, Kelly",SR,,,,,,,Texas,1:54.63,1:54.32,10,7
136, Event 4  Women 200 Yard IM,Consolation Final,"Fuller, Josephine",SO,,,,,,,Tennessee,1:54.61,1:54.94,11,6
137, Event 4  Women 200 Yard IM,Consolation Final,"Arens, Abby",JR,,,,,,,NC State,1:55.41,1:54.99,12,5
138, Event 4  Women 200 Yard IM,Consolation Final,"Peplowski, Noelle",5Y,,,,,,,Indiana,1:55.37,1:55.46,13,4
139, Event 4  Women 200 Yard IM,Consolation Final,"Noble, Kennedy",FR,,,,,,,NC State,1:55.48,1:55.96,14,3
140, Event 4  Women 200 Yard IM,Consolation Final,"Bell, Lucy",FR,,,,,,,Stanford,1:54.89,1:56.25,15,2
141, Event 4  Women 200 Yard IM,Consolation Final,"Polonsky, Leah",SO,,,,,,,California,1:55.01,1:56.34,16,1
142, Event 4  Women 200 Yard IM,Preliminaries,"Douglass, Kate",SR,,,,,,,Virginia,1:50.15,1:51.81,1,0
143, Event 4  Women 200 Yard IM,Preliminaries,"Huske, Torri",SO,,,,,,,Stanford,1:53.37,1:52.38,2,0
144, Event 4  Women 200 Yard IM,Preliminaries,"Walsh, Alex",JR,,,,,,,Virginia,1:51.95,1:52.89,3,0
145, Event 4  Women 200 Yard IM,Preliminaries,"Hay, Abby",SR,,,,,,,Louisville,1:55.07,1:54.03,4,0
146, Event 4  Women 200 Yard IM,Preliminaries,"Nelson, Ella",SR,,,,,,,Virginia,1:53.69,1:54.06,5,0
147, Event 4  Women 200 Yard IM,Preliminaries,"Sticklen, Emma",JR,,,,,,,Texas,1:54.70,1:54.18,6,0
148, Event 4  Women 200 Yard IM,Preliminaries,"Foley, Sally",JR,,,,,,,Duke,1:54.12,1:54.35,7,0
149, Event 4  Women 200 Yard IM,Preliminaries,"Bacon, Phoebe",JR,,,,,,,Wisconsin,1:55.06,1:54.43,8,0
150, Event 4  Women 200 Yard IM,Preliminaries,"Fuller, Josephine",SO,,,,,,,Tennessee,1:54.09,1:54.61,9,0
151, Event 4  Women 200 Yard IM,Preliminaries,"Pash, Kelly",SR,,,,,,,Texas,1:53.81,1:54.63,10,0
152, Event 4  Women 200 Yard IM,Preliminaries,"Hartman, Zoie",SR,,,,,,,Georgia,1:53.58,1:54.63,10,0
153, Event 4  Women 200 Yard IM,Preliminaries,"Bell, Lucy",FR,,,,,,,Stanford,1:56.47,1:54.89,12,0
154, Event 4  Women 200 Yard IM,Preliminaries,"Polonsky, Leah",SO,,,,,,,California,1:54.02,1:55.01,13,0
155, Event 4  Women 200 Yard IM,Preliminaries,"Peplowski, Noelle",5Y,,,,,,,Indiana,1:55.89,1:55.37,14,0
156, Event 4  Women 200 Yard IM,Preliminaries,"Arens, Abby",JR,,,,,,,NC State,1:54.93,1:55.41,15,0
157, Event 4  Women 200 Yard IM,Preliminaries,"Noble, Kennedy",FR,,,,,,,NC State,1:55.77,1:55.48,16,0
158, Event 4  Women 200 Yard IM,Preliminaries,"Harter, Abby",JR,,,,,,,Virginia,1:54.83,1:55.57,17,0
159, Event 4  Women 200 Yard IM,Preliminaries,"Panitz, Josie",SR,,,,,,,Ohio St,1:54.96,1:55.66,18,0
160, Event 4  Women 200 Yard IM,Preliminaries,"Canny, Aimee",FR,,,,,,,Virginia,1:55.90,1:56.10,19,0
161, Event 4  Women 200 Yard IM,Preliminaries,"Odgers, Isabelle",5Y,,,,,,,Southern California,1:55.68,1:56.12,20,0
162, Event 4  Women 200 Yard IM,Preliminaries,"Looze, Mac",5Y,,,,,,,Indiana,1:56.52,1:56.32,21,0
163, Event 4  Women 200 Yard IM,Preliminaries,"Stotler, Sara",SO,,,,,,,Tennessee,1:56.21,1:56.32,21,0
164, Event 4  Women 200 Yard IM,Preliminaries,"Kwan, Victoria",5Y,,,,,,,South Carolina,1:55.78,1:56.41,23,0
165, Event 4  Women 200 Yard IM,Preliminaries,"Daniel, Abby",SO,,,,,,,Akron,1:56.26,1:56.50,24,0
166, Event 4  Women 200 Yard IM,Preliminaries,"Sheble, Grace",SO,,,,,,,NC State,1:56.23,1:56.93,25,0
167, Event 4  Women 200 Yard IM,Preliminaries,"VanNote, Ellie",SR,,,,,,,UNC,1:57.07,1:56.97,26,0
168, Event 4  Women 200 Yard IM,Preliminaries,"Dixon, Zoe",FR,,,,,,,Florida,1:55.23,1:56.98,27,0
169, Event 4  Women 200 Yard IM,Preliminaries,"Poole, Lauren",SR,,,,,,,Kentucky,1:55.12,1:57.05,28,0
170, Event 4  Women 200 Yard IM,Preliminaries,"Belyakov, Catherine",JR,,,,,,,Duke,1:56.90,1:57.09,29,0
171, Event 4  Women 200 Yard IM,Preliminaries,"Ulett, Tristen",JR,,,,,,,Louisville,1:56.75,1:57.12,30,0
172, Event 4  Women 200 Yard IM,Preliminaries,"Hook, Charlotte",FR,,,,,,,Stanford,1:57.49,1:57.41,31,0
173, Event 4  Women 200 Yard IM,Preliminaries,"Bathurst, Ella",SO,,,,,,,Virginia,1:57.07,1:57.42,32,0
174, Event 4  Women 200 Yard IM,Preliminaries,"Douthwright, Brooklyn",SO,,,,,,,Tennessee,1:58.17,1:57.42,32,0
175, Event 4  Women 200 Yard IM,Preliminaries,"Sim, Letitia",SO,,,,,,,Michigan,1:56.20,1:57.44,34,0
176, Event 4  Women 200 Yard IM,Preliminaries,"Wright, Cat",5Y,,,,,,,Alabama,1:55.82,1:57.47,35,0
177, Event 4  Women 200 Yard IM,Preliminaries,"Van Berkom, Megan",JR,,,,,,,Minnesota,1:55.67,1:57.47,35,0
178, Event 4  Women 200 Yard IM,Preliminaries,"Lagrand, Susan",5Y,,,,,,,Oakland,1:57.23,1:57.54,37,0
